Rodada,Data,Jogo,Resultado_Time1,Resultado_Time2,Status
1,2024-04-13 18:30,SC Internacional vs EC Bahia,2,1,FINISHED
1,2024-04-13 18:30,Criciúma EC vs EC Juventude,1,1,FINISHED
1,2024-04-13 21:00,Fluminense FC vs RB Bragantino,2,2,FINISHED
1,2024-04-13 21:00,São Paulo FC vs Fortaleza EC,1,2,FINISHED
1,2024-04-14 16:00,CR Vasco da Gama vs Grêmio FBPA,2,1,FINISHED
1,2024-04-14 16:00,SC Corinthians Paulista vs CA Mineiro,0,0,FINISHED
1,2024-04-14 16:00,CA Paranaense vs Cuiabá EC,4,0,FINISHED
1,2024-04-14 16:00,AC Goianiense vs CR Flamengo,1,2,FINISHED
1,2024-04-14 17:00,Cruzeiro EC vs Botafogo FR,3,2,FINISHED
1,2024-04-14 18:30,EC Vitória vs SE Palmeiras,0,1,FINISHED
2,2024-04-16 21:30,EC Bahia vs Fluminense FC,2,1,FINISHED
2,2024-04-17 19:00,RB Bragantino vs CR Vasco da Gama,2,1,FINISHED
2,2024-04-17 19:00,Grêmio FBPA vs CA Paranaense,2,0,FINISHED
2,2024-04-17 20:00,CA Mineiro vs Criciúma EC,1,1,FINISHED
2,2024-04-17 20:00,Fortaleza EC vs Cruzeiro EC,1,1,FINISHED
2,2024-04-17 20:00,EC Juventude vs SC Corinthians Paulista,2,0,FINISHED
2,2024-04-17 20:00,SE Palmeiras vs SC Internacional,0,1,FINISHED
2,2024-04-17 21:30,CR Flamengo vs São Paulo FC,2,1,FINISHED
2,2024-04-18 21:30,Botafogo FR vs AC Goianiense,1,0,FINISHED
3,2024-04-20 16:00,Fluminense FC vs CR Vasco da Gama,2,1,FINISHED
3,2024-04-20 18:30,RB Bragantino vs SC Corinthians Paulista,1,0,FINISHED
3,2024-04-20 18:30,Grêmio FBPA vs Cuiabá EC,1,0,FINISHED
3,2024-04-20 21:00,CA Mineiro vs Cruzeiro EC,3,0,FINISHED
3,2024-04-21 16:00,CA Paranaense vs SC Internacional,1,0,FINISHED
3,2024-04-21 16:00,SE Palmeiras vs CR Flamengo,0,0,FINISHED
3,2024-04-21 16:00,EC Vitória vs EC Bahia,2,2,FINISHED
3,2024-04-21 18:30,AC Goianiense vs São Paulo FC,0,3,FINISHED
3,2024-04-21 18:30,Botafogo FR vs EC Juventude,5,1,FINISHED
4,2024-04-27 16:00,CR Vasco da Gama vs Criciúma EC,0,4,FINISHED
4,2024-04-27 18:30,Cuiabá EC vs CA Mineiro,0,3,FINISHED
